Timestamp,CPU_Percent,Power_Watts
2025-03-15 23:27:48,4.7,15.715
2025-03-15 23:27:50,8.3,2.485
2025-03-15 23:27:52,7.4,1.4349999999999998
2025-03-15 23:27:55,4.1,0.7350000000000001
2025-03-15 23:27:57,6.0,2.485
2025-03-15 23:27:59,7.6,4.2
2025-03-15 23:28:01,5.2,2.485
2025-03-15 23:28:04,5.8,6.3
2025-03-15 23:28:06,11.1,1.4000000000000001
2025-03-15 23:28:08,4.3,1.9599999999999997
2025-03-15 23:28:10,4.5,2.17
2025-03-15 23:28:13,4.9,2.8000000000000003
2025-03-15 23:28:15,26.0,35.0
2025-03-15 23:28:17,100.0,35.0
2025-03-15 23:28:20,100.0,35.0
2025-03-15 23:28:22,100.0,35.0
2025-03-15 23:28:24,100.0,35.0
2025-03-15 23:28:27,100.0,35.0
2025-03-15 23:28:29,100.0,35.0
2025-03-15 23:28:32,100.0,35.0
2025-03-15 23:28:34,100.0,35.0
2025-03-15 23:28:35,100.0,9.0
2025-03-15 23:28:36,100.0,9.0
2025-03-15 23:28:37,100.0,9.0
2025-03-15 23:28:38,100.0,9.0
2025-03-15 23:28:39,100.0,9.0
2025-03-15 23:28:40,100.0,9.0
2025-03-15 23:28:41,100.0,9.0
2025-03-15 23:28:42,100.0,8.0
2025-03-15 23:28:43,100.0,8.0
2025-03-15 23:28:44,100.0,8.0
2025-03-15 23:28:45,100.0,8.0
